"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"163",229255657941170,3,11,4,"Germany",2,2,5,2,8,5,11,1,-1,1
"164",229255657942213,3,348,3,"Germany",4,2,10,2,10,4,32048,1,-1,-1
"165",229255657942218,3,34,5,"Germany",3,2,10,2,5,4,3204,1,1,0
"166",229255657942219,3,34,4,"Germany",3,3,NA,2,70,4,32048,1,0,0
"167",229255657944311,3,11,6,"Germany",3,2,15,2,10,4,11,1,2,0
"168",229255657947188,3,11,1,"Germany",3,3,NA,2,30,2,11,1,-1,0
"169",229255657949260,2,3489,6,"Germany",2,2,100,2,100,6,3489,1,0,0
"170",229255657951349,3,348,5,"Germany",3,4,15,4,15,5,3202148,1,0,0
"171",229255657952395,2,348,6,"Germany",2,2,80,2,80,6,320214822,1,0,0
"172",229255657957600,3,3,5,"Germany",4,2,10,2,15,3,422,1,2,-1
"173",229255657958647,3,34,5,"Germany",2,2,10,2,15,5,134,1,0,1
"174",229255657959433,3,348,3,"Germany",3,3,NA,3,NA,4,3204822,1,-1,0
"175",229255657965656,2,3489,5,"Germany",2,4,20,4,20,4,3204822,1,1,0
"176",229255657966697,1,345689,6,"Germany",2,2,15,2,15,6,320214822,1,0,-1
"177",229255657966698,3,349,3,"Germany",4,3,NA,3,NA,3,3208,1,0,-1
"178",229255657970831,1,34568,6,"Germany",1,2,50,2,40,6,32021456922,1,0,0
"179",229255657980998,3,34,4,"Germany",3,3,NA,3,NA,4,11,1,0,0
"180",229255657984125,3,349,4,"Germany",3,2,2,2,3,4,32048,1,0,0
"181",229255657997387,3,49,4,"Germany",3,2,40,2,20,5,320214,1,-1,0
"182",229255657999471,3,3456,5,"Germany",3,3,NA,3,NA,4,123204522,1,1,0
"183",229255658003638,3,349,6,"Germany",3,2,100,2,100,5,321422,1,1,0
"184",229255658040397,3,34,5,"Germany",3,2,10,2,10,4,49,1,1,0
"185",229255658041440,3,389,3,"Germany",3,2,5,2,10,1,204822,1,2,0
"186",229255658041449,3,468,4,"Germany",4,3,NA,4,20,4,32021,1,0,-1
"187",229256171549895,3,4,5,"Switzerland",3,3,NA,4,20,4,4,1,1,0
"188",229256171552970,4,38,4,"Switzerland",3,2,18,2,36,5,34,1,-1,1
"189",229256171556050,3,4,5,"Switzerland",3,2,5,2,6,5,22,1,0,0
"190",229256171561183,3,49,1,"Switzerland",3,2,10,2,20,3,48,1,-2,0
"191",229256171567352,3,4,5,"Switzerland",3,2,25,4,50,6,48,1,-1,0
"192",229256171569156,2,34,6,"Switzerland",2,2,100,2,20,6,34,1,0,0
"193",229256171575321,3,48,5,"Switzerland",3,2,50,3,NA,6,22,1,-1,0
"194",229256171581482,3,3,5,"Switzerland",3,2,40,2,25,5,34,1,0,0
"195",229256171582508,3,489,3,"Switzerland",3,2,25,2,4,4,48922,1,-1,0
"196",229256171601985,3,18,3,"Switzerland",3,3,NA,3,NA,2,138,1,1,0
"197",229256171609167,3,348,2,"Switzerland",3,2,5,2,40,2,348,1,0,0
"198",229256171622503,4,4,6,"Switzerland",3,2,60,3,NA,6,48,1,0,1
"199",229256171630718,3,8,4,"Switzerland",3,2,10,2,10,5,348,1,-1,0
