Gemeinde;Preise2023
Jongny ;32,26
Jonschwil ;24,63
Jonschwil ;26,72
Jorat-Menthue ;32,26
Jorat-Mézières ;31,56
Jouxtens-Mézery ;26,56
Juriens ;32,26
Jussy ;24,22
Kaiseraugst ;25,13
Kaisten ;21,21
Kallern ;25,13
Kallnach ;24
Kallnach ;27,56
Kaltbrunn ;26,55
Kammersrohr ;25,1
Kandergrund ;25,5
Kandersteg ;31,62
Känerkinden ;25,65
Kappel (SO) ;26,02
Kappel am Albis ;21,88
Kappelen ;25,5
Kaufdorf ;25,5
Kehrsatz ;25,5
Kemmental ;34,48
Kernenried ;32,34
Kerns ;29,77
Kerzers ;25,35
Kesswil ;22,23
Kienberg ;25,13
Kiesen ;25,5
Kilchberg (BL) ;25,65
Kilchberg (ZH) ;21,88
Killwangen ;24,34
Kippel ;25,73
Kirchberg (BE) ;32,63
Kirchberg (SG) ;42,54
Kirchberg (SG) ;32,31
Kirchdorf (BE) ;25,5
Kirchleerau ;27,2
Kirchlindach ;25,5
Kleinandelfingen ;21,88
Kleinbösingen ;25,35
Kleinlützel ;31,31
Klingnau ;25,44
Klosters ;26,56
Kloten ;30,95
Knonau ;21,88
Knutwil ;28,85
Koblenz ;25,13
Kölliken ;15,01
Köniz ;25,9
Konolfingen ;25,5
Koppigen ;33,88
Kradolf-Schönenberg ;34,11
Krattigen ;25,5
Krauchthal ;32,34
Kreuzlingen ;28,28
Kriechenwil ;25,5
Kriegstetten ;25
Kriens ;28,85
Kriens ;25,87
Küblis ;26,56
Künten ;25,71
Küsnacht (ZH) ;26,36
Küssnacht (SZ) ;41,64
Küttigen ;27,2
L'Abbaye ;37,29
L'Abergement ;32,26
L'Isle ;32,26
La Baroche ;25,5
La Brévine ;26,95
La Brillaz ;25,35
La Chaux (Cossonay) ;31,56
La Chaux-de-Fonds ;33,07
La Chaux-des-Breuleux ;26,04
La Chaux-du-Milieu ;26,95
La Côte-aux-Fées ;26,95
La Ferrière ;25,64
La Grande Béroche ;26,95
La Neuveville ;32,19
La Praz ;32,26
La Punt Chamues-ch ;28,26
La Rippe ;31,56
La Roche ;25,35
La Sagne ;26,95
La Sarraz ;32,26
La Sonnaz ;25,35
La Tène ;26,95
La Tour-de-Peilz ;32,56
La Verrerie ;25,35
Laax ;27,56
Lachen ;37,53
Laconnex ;24,22
Lajoux (JU) ;25,5
Lalden ;24,69
Lamone ;28,52
Lampenberg ;25,65
Lancy ;24,22
Landiswil ;25,5
Landquart ;27,76
Langenbruck ;25,65
Langendorf ;28,58
Langenthal ;32,85
Langnau am Albis ;21,88
Langnau im Emmental ;25,5
Langrickenbach ;33,39
Lantsch/Lenz ;23,46
Lauenen ;25,5
Lauerz ;24,96
Läufelfingen ;25,65
Laufen ;25,5
Laufen ;31,31
Laufen-Uhwiesen ;21,88
Laufenburg ;47,1
Laupen ;25,5
Laupersdorf ;31,47
Lauperswil ;27,74
Lauperswil ;25,5
Lauperswil ;23,22
Lauperswil ;25,73
Lausanne ;31,94
Lausen ;25,65
Lauterbrunnen ;37,02
Lauterbrunnen ;24,76
Lauwil ;31,31
Lavertezzo ;29,24
Lavey-Morcles ;32,99
Lavigny ;32,26
Lavizzara ;29,24
Lax ;21,23
Le Bémont (JU) ;25,79
Le Cerneux-Péquignot ;26,95
Le Châtelard ;25,35
Le Chenit ;37,29
Le Flon ;25,35
Le Grand-Saconnex ;24,22
Le Landeron ;33,33
Le Lieu ;37,29
Le Locle ;33,07
Le Locle ;26,24
Le Mont-sur-Lausanne ;28,76
Le Mouret ;25,35
Le Noirmont ;25,94
Le Pâquier (FR) ;25,35
Le Vaud ;31,56
Leibstadt ;23,04
Leimbach (AG) ;25,13
Leissigen ;25,5
Lengnau (AG) ;25,13
Lengnau (BE) ;31,6
Lengwil ;41,91
Lenk ;25,5
Lens ;30,8
Lenzburg ;32,31
Les Bois ;25,87
Les Breuleux ;26,04
Les Clées ;32,26
Les Enfers ;25,5
Les Genevez (JU) ;25,5
Les Montets ;25,35
Les Planchettes ;33,07
Les Ponts-de-Martel ;26,88
Les Verrières ;26,95
Leuggern ;32,27
Leuggern ;25,13
Leuk ;22,75
Leukerbad ;23,75
Leutwil ;25,13
Leuzigen ;28,58
Leysin ;32,26
Leytron ;27,45
Lichtensteig ;27,62
Liddes ;31
Liedertswil ;25,65
Liesberg ;31,31
Liestal ;25,65
Ligerz ;24
Lignerolle ;31,56
Lignerolle ;29,73
Lignières ;26,95
Lindau ;31,43
Linden ;37,8
Linescio ;29,24
Locarno ;29,24
Lohn (SH) ;24,4
Lohn-Ammannsegg ;31,49
Löhningen ;24,4
Lommis ;22,84
Lommiswil ;25
Lonay ;31,56
Longirod ;31,56
Losone ;29,24
Lostallo ;29,95
Lostorf ;31,58
Lotzwil ;24,18
Lovatens ;32,26
Loveresse ;25,5
Lucens ;32,26
Lufingen ;21,88
Lugano ;28,52
Lugnez ;25,5
Luins ;32,26
Lully (FR) ;25,35
Lully (VD) ;31,56
Lumino ;21,9
Lumnezia ;27,56
Lungern ;29,77
Lupfig ;24,54
Lupsingen ;31,31
Lüscherz ;25,5
Lussery-Villars ;32,26
Lüsslingen-Nennigkofen ;27,58
Lussy-sur-Morges ;31,56
Luterbach ;25
