"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"688",229409893598399,2,3489,5,"Germany",2,4,30,4,40,4,3214822,1,1,0
"689",229409893599427,6,5,1,"Germany",6,3,NA,2,20,6,6,1,-5,0
"690",229409893600486,3,34,5,"Germany",3,3,NA,4,15,5,320214822,1,0,0
"691",229409893601517,1,134,5,"Germany",1,2,100,2,100,6,14,1,-1,0
"692",229409893602310,3,11,6,"Germany",3,2,10,2,10,6,422,1,0,0
"693",229409893603348,2,48,6,"Germany",3,3,NA,3,NA,6,48,1,0,-1
"694",229409893605426,2,8,6,"Germany",3,3,NA,2,5,5,8,1,1,-1
"695",229409893605428,4,34,4,"Germany",4,2,60,2,10,4,321,1,0,0
"696",229409893610648,3,4,4,"Germany",3,2,15,2,30,4,20422,1,0,0
"697",229409893611678,3,4,4,"Germany",3,2,15,2,15,4,3204,1,0,0
"698",229409893611680,2,138,5,"Germany",3,3,NA,3,NA,5,34822,1,0,-1
"699",229409893614809,3,348,4,"Germany",3,2,50,2,100,3,32048,1,1,0
"700",229409893614812,2,468,5,"Germany",3,3,NA,3,NA,4,48,1,1,-1
"701",229409893614815,5,3,3,"Germany",3,2,10,2,20,5,3,1,-2,2
"702",229409893616888,1,348,5,"Germany",1,2,20,2,100,6,4822,1,-1,0
"703",229409893616893,2,48,6,"Germany",2,2,50,2,70,5,1348,1,1,0
"704",229409893616894,2,34568910,4,"Germany",3,2,50,3,NA,5,2048922,1,-1,-1
"705",229409893617680,3,348,5,"Germany",3,2,5,3,NA,4,3214822,1,1,0
"706",229409893618718,2,348,6,"Germany",1,2,50,2,100,6,32048,1,0,1
"707",229409893618721,1,34,6,"Germany",1,2,10,2,20,6,2021,1,0,0
"708",229409893620798,5,146,5,"Germany",5,2,10,2,15,5,13216,1,0,0
